Accession,Description,POOL1,CF11,BL22,S112,S721,POOL2,CF21,BL11,S122,S712,S722,S111,BL21,CF12,POOL3,S711,S121,BL12,CF22,POOL4
tr|A0A140N5V9|A0A140N5V9_ECOBD,Aldo/keto reductase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0737 PE=4 SV=1,334365.436,318610.4951,602959.7554,216869.3604,213348.9294,359670.8297,394256.4189,590481.0564,210876.5144,186641.0879,186236.4777,152865.6729,301086.7383,253908.31100000002,262114.1152,217361.1882,218257.1626,292685.8496,259637.4375,244050.5059
tr|A0A140N5W3|A0A140N5W3_ECOBD,Aminotransferase class I and II OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1369 PE=4 SV=1,3555020.93,3921053.938,4040065.367,2619521.027,3375060.764,3795985.0919999997,3767833.2939999998,4769540.968,2915345.42,2444467.098,2173739.958,2011478.211,3327830.943,2813471.079,2964821.0110000004,2761845.771,2456939.7,3453444.562,2913435.082,3033574.3419999997
tr|A0A140N5W6|A0A140N5W6_ECOBD,Histidinol dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=hisD PE=3 SV=1,1399720.0,1513439.06,1459010.969,1058231.123,1530199.876,1496542.093,1706557.187,1422815.4540000001,1146383.612,1439149.764,1809772.1090000002,1358322.254,1642624.862,1846537.584,1862489.824,2246881.674,1476721.007,1663669.4430000002,1951896.545,1879134.7219999998
tr|A0A140N5X0|A0A140N5X0_ECOBD,UDP-N-acetylglucosamine 1-carboxyvinyltransferase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=murA PE=3 SV=1,13249057.35,12906118.45,14947504.33,12189395.8,12336213.66,14331121.49,14310667.75,14519097.34,12956218.05,11321067.54,12328731.87,12086085.33,14824698.27,14135917.55,14826311.72,14983115.19,15042018.35,14813053.4,14882823.98,15475672.25
tr|A0A140N5X3|A0A140N5X3_ECOBD,Hydrogenase maturation factor HybF OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=hybF PE=3 SV=1,116662.8057,153735.9067,137969.8394,90138.99829,100637.07199999999,122827.6831,155067.6128,155429.3901,81047.16602,84225.73804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tr|A0A140N5X5|A0A140N5X5_ECOBD,DNA primase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=dnaG PE=3 SV=1,290107.4385,349865.7295,325362.7803,222269.1953,288153.2988,347094.1299,365233.5586,374319.6836,222755.1597,229684.9072,203876.353,209198.3657,288783.0547,294270.8184,285502.8936,278327.4131,262462.2041,302395.0156,279455.707,277761.959
tr|A0A140N5X6|A0A140N5X6_ECOBD,NADH-quinone oxidoreductase subunit H OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=nuoH PE=3 SV=1,1452183.216,1229722.014,2157034.595,1383620.707,1326546.2859999998,1540814.9919999999,1783443.019,1528405.5480000002,1221863.435,1058174.0420000001,1405805.886,987683.7739,2967864.666,2355240.295,2297396.285,1799673.4630000002,1919858.936,3130956.9260000004,2402936.691,2264662.17
tr|A0A140N5X8|A0A140N5X8_ECOBD,Sulfate adenylyltransferase subunit 2 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=cysD PE=3 SV=1,4621865.341,5545519.671,7299737.137999999,2897785.901,3185990.58,4906530.087,5759535.385,7284232.449,2448568.351,3158114.9110000003,3450341.47,2450924.825,8848522.724,7640992.123,6592326.032000001,4375964.685,3636697.006,11253610.85,6552585.875,6750821.021000001
tr|A0A140N5X9|A0A140N5X9_ECOBD,Ribosomal RNA large subunit methyltransferase E OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rlmE PE=3 SV=1,2049114.227,2721087.355,2718121.602,1094416.385,1713168.7319999998,2178173.023,3287371.02,2202265.383,1103784.152,1624378.564,1737642.561,645469.3628,2839963.8789999997,3815638.508,2417818.732,1926185.783,1313181.765,3384088.172,3405163.555,2599242.031
tr|A0A140N5Y3|A0A140N5Y3_ECOBD,Multifunctional CCA protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=cca PE=3 SV=1,555160.0935,658405.8096,650347.3345,496207.5239,472571.4556,608398.9619,750875.168,617867.6333,507124.3633,436056.5293,808523.2545,936818.4445,1105358.45,963652.2662,1101024.4840000002,1098914.505,1022578.943,1171787.6409999998,1030884.5759999999,1148320.452
tr|A0A140N5Y7|A0A140N5Y7_ECOBD,Ribosome-binding factor A OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rbfA PE=3 SV=1,4909301.699,5156641.818,4871186.289,4850085.881,4842437.928,5236033.606000001,5336518.579,5404790.471,4951062.251,4396445.92,3516374.103,3167006.762,3651805.4639999997,3859444.817,3989915.1319999998,4200444.86,4128528.91,4206203.576,3771779.6810000003,4140125.172
tr|A0A140N5Y8|A0A140N5Y8_ECOBD,DNA-damage-inducible protein D OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0080 PE=4 SV=1,37869.07813,30547.57227,74213.23438,24096.75977,30514.941410000003,45968.42578,47552.61328,45086.82031,23598.83008,27225.60742,148425.7051,161978.3867,205096.2793,181303.5742,202711.2305,203265.99800000002,163269.7598,217287.9141,207163.1953,245857.1621
tr|A0A140N5Z1|A0A140N5Z1_ECOBD,Peptidase M23 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0982 PE=4 SV=1,3276369.215,3737243.961,4138232.809,2398161.415,2650679.699,3450816.1560000004,3989436.4469999997,4572858.721,2371076.761,2369207.011,2698478.43,2176384.339,5224332.774,4428364.14,4140716.355,3589023.8880000003,2843410.267,5517846.095,4748485.745,4438327.182
tr|A0A140N5Z7|A0A140N5Z7_ECOBD,50S ribosomal protein L33 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rpmG PE=3 SV=1,12656947.6,14765142.06,10062681.11,12009666.76,13271793.02,13384333.39,13528583.33,17209017.99,12192688.64,8459396.254,10311266.26,22651704.45,9662552.5,12556480.93,12199694.31,16001444.0,13258371.01,8925302.736,10325448.53,15083912.8
tr|A0A140N5Z8|A0A140N5Z8_ECOBD,Polymyxin resistance protein B OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1399 PE=4 SV=1,583401.875,753896.4219,528323.6445,496666.1367,569254.4297,602360.3125,631635.6094,722553.6992,523840.6055,422634.9766,605195.834,698716.4238,724999.6035,731011.4668,801608.1797,838206.0059,800266.6133,652751.2832,791957.5586,796694.8477
tr|A0A140N601|A0A140N601_ECOBD,ADP-ribose diphosphatase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0705 PE=4 SV=1,1084758.449,1198545.297,1485767.719,779358.2109,807353.3555,1101088.512,1489341.1330000001,1516972.2230000002,884553.8164,726228.6289,328157.2344,330750.8906,735162.2227,567886.4219,571326.9609,463732.7188,424354.1016,745862.4023,649941.125,619635.5273
tr|A0A140N604|A0A140N604_ECOBD,Penicillin-binding protein activator LpoA OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=lpoA PE=3 SV=1,4236929.366,4633917.786,5715956.231000001,3228622.959,3452651.66,4485741.404,4951845.011,6258571.893999999,3278497.5160000003,3052809.436,3800198.604,3964462.4680000003,7147620.336,5501259.636,5780980.2360000005,4898255.879,4192173.135,7038217.125,5292580.183999999,5807550.346
tr|A0A140N609|A0A140N609_ECOBD,Adenine DNA glycosylase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0778 PE=3 SV=1,86766.05274,87280.43359,96162.27344,74896.73242,77154.10059,93645.08399,100447.2793,105553.4316,86556.00781,70422.6084,15185.82324,12911.68359,17364.81641,17429.28711,21176.39844,17263.95898,16275.62598,18257.39258,15831.66895,16653.07422
tr|A0A140N610|A0A140N610_ECOBD,BOF domain-containing protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0715 PE=4 SV=1,5922717.623,7078215.711,8597984.473,4170004.139,3773749.037,6097093.6,7762355.437999999,7838334.132999999,4223125.598,3702520.334,3726587.523,4662629.742,10625322.14,8822993.32,7975517.832,6654711.336,6094240.555,9148999.219,10277257.41,8066669.859
tr|A0A140N613|A0A140N613_ECOBD,YicC domain protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0082 PE=4 SV=1,7242002.788,6695291.472,9115908.346,5883162.058999999,6305379.697000001,7643779.149,7549294.727999999,9456749.601,6516496.9860000005,5524413.668,8319537.541,7862135.092,12972492.32,9904773.067,11140271.55,10412749.08,9887306.307,13422726.46,10675883.62,11399526.87
tr|A0A140N615|A0A140N615_ECOBD,Uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0111 PE=4 SV=1,264711.2012,222545.4463,321412.0605,214678.66600000003,244077.7021,271501.1416,265262.4053,305215.5215,208748.165,203664.8379,122262.5498,88402.88477,114835.2217,116669.0771,119130.2852,132568.374,107457.9062,144179.2129,119517.0938,125245.5771
tr|A0A140N619|A0A140N619_ECOBD,Glycerol-3-phosphate dehydrogenase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1419 PE=3 SV=1,2266062.319,1881696.764,2978559.7830000003,2149941.004,1693313.094,2432515.581,2073373.721,3323042.035,2246910.974,1857540.168,2121971.972,3096659.0110000004,3849539.749,2804568.338,3278959.856,3415627.41,3318043.414,4064136.8460000004,2802112.5510000004,3684033.225
tr|A0A140N622|A0A140N622_ECOBD,Galactarate dehydratase (L-threo-forming) OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=garD PE=3 SV=1,176248.2939,120948.0586,406773.9141,53402.04883,73900.55811,183846.3486,152259.6426,498993.3301,64208.38623,68569.24463,180851.3726,233148.973,929507.7959,336727.4463,495918.1201,316610.2195,255444.2258,1014680.1190000001,392340.7292,527661.3857
tr|A0A140N624|A0A140N624_ECOBD,GntR domain protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0121 PE=4 SV=1,72140.17481,83740.5957,83517.62207,47862.587889999995,67839.29395,81793.77734,88289.60742,134712.7012,44595.88965,57951.73242000001,120296.9888,61889.82446,185818.1696,182224.7047,175304.0273,164442.2725,126203.6298,296460.7102,177571.7568,186538.9427
tr|A0A140N626|A0A140N626_ECOBD,DNA gyrase subunit A OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=gyrA PE=3 SV=1,22345366.17,24719059.36,26180828.23,17613807.05,19134606.65,22993570.29,25798609.13,28445089.36,18373805.1,16653541.88,17816577.02,17292231.3,27702372.6,24770216.53,24606815.33,23419702.33,20943894.88,28008118.51,26339063.66,25182255.72
tr|A0A140N627|A0A140N627_ECOBD,S-adenosylmethionine synthase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=metK PE=3 SV=1,16686317.07,15649904.08,18379536.62,15054298.56,14225331.24,17491349.98,18328400.96,20035190.68,16338392.25,13686112.75,15547188.03,15179117.41,21875350.85,15886034.99,19775507.62,19414408.89,20096892.99,25566129.03,16939689.32,21271664.39
tr|A0A140N634|A0A140N634_ECOBD,"PTS system, glucitol/sorbitol-specific, IIBC subunit OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1022 PE=4 SV=1",952667.1641,426408.9297,2695030.328,169788.7686,309626.5459,1029106.906,529947.4141,3210210.9839999997,178981.3633,282766.208,135801.583,139385.9053,1738520.6409999998,316576.9453,720487.1836,246581.7949,212143.2588,1962035.2659999998,413566.5313,752508.6094
tr|A0A140N635|A0A140N635_ECOBD,"Two component, sigma54 specific, transcriptional regulator, Fis family OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1439 PE=4 SV=1",71809.64282000001,80084.64111,131359.2681,35814.22168,48078.52051,76495.63696,94682.22437000001,126199.7571,35677.99072,40623.39258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tr|A0A140N640|A0A140N640_ECOBD,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=gpmI PE=3 SV=1",12055628.33,9993144.742,12579832.73,11346531.1,12046904.85,12843006.59,11914737.36,13723597.57,12274513.99,10192252.32,11919548.86,11360950.15,12472123.93,10364226.96,12932117.66,14562685.75,13467333.94,13293874.65,11419389.83,13467733.12
tr|A0A140N643|A0A140N643_ECOBD,Hydrogenase expression/formation protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0745 PE=4 SV=1,338164.8799,405382.9902,338684.0313,486387.6377,338577.208,355945.667,341161.0488,386933.0215,322794.998,326075.5078,213574.8555,301986.2344,184760.12300000002,296664.0898,360105.8008,355185.9727,245003.5313,213318.1074,281461.5078,286647.2188
tr|A0A140N644|A0A140N644_ECOBD,Glutamate--cysteine ligase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=gshA PE=3 SV=1,5567154.301,5597412.102999999,7018875.208,4434053.947,4740869.18,6013001.146000001,6487367.275,7385420.062000001,5006694.86,4296696.053,4674234.901000001,4293343.107,6621919.786,5778263.831,5985168.715,5681082.746,5245826.907,6938988.429,6530543.674,6357117.302999999
tr|A0A140N645|A0A140N645_ECOBD,Ecotin OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=eco PE=3 SV=1,4743671.7639999995,4593716.472,7511589.84,3313391.16,3543928.143,4898253.977,5230133.228999999,6315688.557,3554697.4689999996,3369709.45,3920734.857,4206485.357,9193851.527999999,5860065.799,6232967.32,5350996.233,4735474.573,7827026.442000001,6319537.785,6548523.989
tr|A0A140N649|A0A140N649_ECOBD,Aldehyde dehydrogenase (NAD(+)) OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0142 PE=3 SV=1,344808.1528,264542.9641,784069.5176,193000.0696,216753.2898,373787.2795,285853.9287,654845.5088,246075.5326,196085.3063,84869.57459,172865.9303,538715.3027,164659.4556,260121.3672,167128.0857,130346.2307,425078.8926,197898.3545,269005.4268
tr|A0A140N655|A0A140N655_ECOBD,"Glycine betaine/L-proline ABC transporter, ATPase subunit OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1042 PE=4 SV=1",5835311.711,6704548.415,5743695.637999999,4786867.938,6025632.924,6403595.49,6655773.179,8207039.716,4630450.798,4823300.02,6421680.566000001,5063660.656,5961845.955,7905713.977000001,6912914.129,7070273.292,5542055.087,8595928.259,7442510.982000001,7396127.087
tr|A0A140N665|A0A140N665_ECOBD,Lipoprotein AcfD-like protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0765 PE=4 SV=1,9948.628174,12540.86255,10407.99341,7035.76538,11515.276609999999,11844.33179,11065.17383,26126.805659999998,8156.8742680000005,8933.633789,8007.117187999999,8116.683105,7903.561035,7644.443359000001,9548.545898,9475.532227,10283.08203,16041.88086,8884.791016,10176.82715
tr|A0A140N666|A0A140N666_ECOBD,Aminotransferase class I and II OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0162 PE=4 SV=1,1822555.621,1884204.842,1951299.32,1452396.285,1714345.014,1957458.66,1953599.406,2427490.473,1570673.02,1385610.7580000001,1579985.718,1711420.2140000002,2328597.77,1988338.7980000002,2092190.01,2178867.672,1857085.611,2577295.691,2051445.5019999999,2301946.5609999998
tr|A0A140N671|A0A140N671_ECOBD,Extracellular solute-binding protein family 5 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1480 PE=4 SV=1,170848.3022,243141.151,178932.4238,148507.3029,141731.728,181576.9523,249299.7786,180742.2566,133087.7573,101453.6621,146736.1714,176501.3347,142522.5977,226579.9824,188210.2119,191238.4302,148312.9805,140387.436,267026.6567,201351.4238
tr|A0A140N675|A0A140N675_ECOBD,Membrane-bound lytic murein transglycosylase C OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=mltC PE=3 SV=1,80596.15625,110594.1016,96226.23438,69777.21094,102363.2031,86205.89844,111662.2813,91230.71094,61361.60547,64058.91016,193799.4453,204824.2578,276395.0469,249239.2266,230127.4219,252508.3359,167205.6875,266205.8516,288152.0547,257876.75
tr|A0A140N679|A0A140N679_ECOBD,Phosphofructokinase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1490 PE=3 SV=1,2431079.591,1931582.832,2716485.992,2294022.6,2738010.6989999996,2562224.0719999997,2115185.077,2582120.096,2345653.081,2286834.557,2044235.5659999999,1723075.167,2177063.422,1732248.851,2103964.473,2197544.66,2055454.781,2168692.062,1694105.669,2241919.187
tr|A0A140N683|A0A140N683_ECOBD,RNA polymerase sigma factor RpoD OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=rpoD PE=3 SV=1,23679455.72,25984676.96,25811579.57,20937562.98,20260599.85,24576362.92,27341204.92,30403275.15,20471210.83,17223480.31,18187188.38,19232388.67,29346260.5,25525654.52,25504407.5,23754666.24,23031972.28,28992456.52,26426744.79,26809415.51
tr|A0A140N688|A0A140N688_ECOBD,dITP/XTP pyrophosphatase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0786 PE=3 SV=1,2082586.773,2680206.051,2251016.062,1648403.2869999998,1913471.775,2211214.355,2602969.23,2831776.828,1787840.523,1371835.91,1544910.01,2245297.569,1952488.2280000001,2102915.443,2055621.343,2401710.625,1786173.9880000001,1615890.759,2304646.546,2083650.9119999998
tr|A0A140N689|A0A140N689_ECOBD,NAD kinase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=nadK PE=3 SV=1,56962.09375,69061.4043,73791.73827999999,47776.912110000005,47032.73242,67636.48047000001,76670.76562,70180.83202999999,52362.03125,43395.193360000005,51513.79492,50815.29688,100612.1504,90681.79492,90350.26758,79473.63378999999,74233.74268,95095.22949,97422.14355,93827.31836
tr|A0A140N690|A0A140N690_ECOBD,Glycine--tRNA ligase alpha subunit OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=glyQ PE=3 SV=1,7174272.107000001,6135585.982999999,9197839.554,6356543.301,6908029.655,7811629.652000001,7413320.615,9359026.502999999,6687553.866,5883586.653,7621336.04,6663354.231000001,11609432.63,7885044.227999999,9760931.991,9583788.713,9586522.636,12334492.73,8887299.265,10429776.2
tr|A0A140N692|A0A140N692_ECOBD,Uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0183 PE=4 SV=1,3960524.167,5313485.629,4907924.928,2927787.03,3524218.673,4094803.865,4489798.721,5502267.691000001,3051060.106,2646099.857,1604530.699,1413076.885,2492413.588,2544389.325,2246079.168,2112304.837,1521644.754,2442694.767,2576001.7,2255421.086
tr|A0A140N694|A0A140N694_ECOBD,Undecaprenyl-diphosphatase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=uppP PE=3 SV=1,77352.61719,100379.3398,91943.57422000001,71755.99805,64590.87695,78770.56641,86531.58984,80830.16211,66786.99609,72415.47656,138538.5859,109621.4805,190413.79100000003,195404.2852,182769.7109,161104.0059,150076.4395,184096.0156,192816.6016,185134.4492
tr|A0A140N695|A0A140N695_ECOBD,"PAS modulated sigma54 specific transcriptional regulator, Fis family OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0868 PE=4 SV=1",1010201.297,1162376.707,1306341.129,691026.4238,898493.4395,1083296.59,966098.3906,1321043.918,700393.4258,814576.5156,32014.11914,41740.469730000004,82935.51952999999,71519.15039,67457.19531,48040.00781,40551.64258,77032.88672000001,81189.31836,65721.91406
tr|A0A140N699|A0A140N699_ECOBD,Dihydroorotate dehydrogenase family protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1511 PE=4 SV=1,87935.68359,81323.43359,116952.6797,75400.16016,77483.89063,88529.82813,106456.8574,120512.9063,78658.16211,62399.734379999994,34921.35742,27549.21436,59614.52344,55256.337889999995,55443.46484,41080.5625,36346.87646,59145.56055,63788.57422,59701.22266
tr|A0A140N6A0|A0A140N6A0_ECOBD,OmpA/MotB domain protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0185 PE=4 SV=1,6559307.271000001,7433753.092,5976074.72,5586812.187000001,6667987.004,6922749.374,8398769.145,7140794.041,6016361.431,6111019.131,5167929.882,5241717.784,5228429.784,7020269.136,6227763.704,6831971.51,5785138.993,6172928.183999999,6858441.908,6924239.074
tr|A0A140N6A4|A0A140N6A4_ECOBD,Acetyl-CoA acetyltransferase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0878 PE=3 SV=1,248580.4219,280185.3262,388113.8262,159090.5732,236743.2217,295646.6562,297780.9219,370616.91799999995,157448.0566,235753.7295,311023.2695,219271.1484,627050.0508,441303.2813,453087.834,445612.0747,281480.915,550993.0293,455935.8838,534890.0098
tr|A0A140N6A5|A0A140N6A5_ECOBD,Chaperone protein ClpB OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=clpB PE=3 SV=1,52652498.28,56165361.23,50895653.33,47053145.79,40005498.03,55850669.49,64998736.21,80289898.42,46892267.93,36389266.2,40858345.01,50554108.78,55205167.39,61496638.63,60673370.85,52858588.93,54641547.27,83622255.96,68870947.13,63925051.41
tr|A0A140N6A8|A0A140N6A8_ECOBD,"Type I secretion outer membrane protein, TolC family OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0704 PE=4 SV=1",42555922.12,48744313.6,46876921.76,34321334.61,37721883.85,45344901.17,50410499.84,56570244.82,36462189.37,33026699.16,27360423.32,28411451.98,37353758.43,37598947.56,36165859.23,35924405.15,30927931.94,40429379.68,38994887.61,37722133.56
tr|A0A140N6B0|A0A140N6B0_ECOBD,"Oligopeptide/dipeptide ABC transporter, ATPase subunit OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0195 PE=3 SV=1",561933.1719,666680.2461,497998.6484,825389.9883,619031.0078,552671.9375,987119.7773,411045.9102,715018.6602,445229.3711,916795.4375,1298835.188,783125.1875,1268365.094,697515.9688,830632.75,1504738.0,580225.6406,902279.8438,712399.2188
tr|A0A140N6B2|A0A140N6B2_ECOBD,Uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0816 PE=4 SV=1,2864062.982,3130095.377,3814832.171,2170531.93,2518048.588,3156171.499,3442008.881,4276089.327,2129055.893,2044219.4119999998,2235656.2090000003,2279945.707,4860126.906,3577424.242,3638710.52,3007215.613,2616080.844,5017036.785,4165928.059,3916811.633
tr|A0A140N6B7|A0A140N6B7_ECOBD,Exonuclease RNase T and DNA polymerase III OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1796 PE=4 SV=1,172958.4521,172586.4775,248496.8145,154214.1006,173934.8896,195971.2588,241017.418,231916.7188,161259.8057,155438.9131,89329.53173999999,55285.2998,279725.5381,205668.4883,178592.2471,121197.5234,83734.0625,241623.5771,226475.1436,177181.24800000002
tr|A0A140N6C1|A0A140N6C1_ECOBD,DNA gyrase subunit B OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=gyrB PE=3 SV=1,18183414.51,19245562.53,23083218.75,14211836.89,15748650.68,19173629.65,19434974.13,24777753.23,15141158.13,14033207.81,18322954.67,16799146.46,29679307.08,24649561.09,24720942.83,23845429.24,20026470.32,30315645.26,24564815.84,25508052.28
tr|A0A140N6C3|A0A140N6C3_ECOBD,Mammalian cell entry related domain protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1806 PE=4 SV=1,1540659.6619999998,1813876.187,1597537.545,1334051.59,1518040.7780000002,1767380.244,1966346.79,1684136.8180000002,1314653.815,1412333.872,773411.0703,904971.6309,1016471.2679999999,1226735.084,1139777.938,1096445.445,999952.1465,1022742.3609999999,1183856.59,1082118.123
tr|A0A140N6C5|A0A140N6C5_ECOBD,"Two component transcriptional regulator, winged helix family OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0714 PE=4 SV=1",243463.4316,216336.5195,234860.5459,232502.5984,246179.13,237486.1497,207629.4834,262567.1108,260486.0454,194020.4568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tr|A0A140N6C7|A0A140N6C7_ECOBD,PfkB domain protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0213 PE=4 SV=1,133079.6484,137595.3057,168320.0327,108620.4546,128034.8931,147418.6348,198087.5117,186762.6182,118125.0876,106788.3179,373674.87299999996,373670.6931,563574.3572,444027.7629,481536.1011,475758.8735,722832.0601,612029.2279,500890.66799999995,499838.8477
tr|A0A140N6C8|A0A140N6C8_ECOBD,Membrane-bound lytic murein transglycosylase A OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0909 PE=4 SV=1,1813205.138,2271844.357,1823624.045,1462440.906,1598324.366,1922339.5080000001,2174342.766,2248457.8430000003,1457841.801,1433959.619,1780891.9309999999,1735103.4,2127888.4869999997,2514571.953,2262107.719,2365866.574,1825127.9340000001,2325715.96,2557459.877,2403796.1180000002
tr|A0A140N6D2|A0A140N6D2_ECOBD,Uncharacterized protein YebO OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1816 PE=4 SV=1,67585.01172000001,71049.92627000001,64159.53612999999,71454.41503999999,83685.32031,75887.25098,72622.18945,92050.89844,55420.630860000005,57199.77637000001,73551.9668,116847.7012,112292.4941,109400.1758,122772.752,139190.2441,94934.34961,120915.6934,93638.23438,122834.7188
tr|A0A140N6D3|A0A140N6D3_ECOBD,Uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0014 PE=4 SV=1,144832.2759,135749.0112,189302.8535,123072.7227,120816.1826,166150.9624,156892.1172,209583.4941,127623.8579,134051.9546,156843.231,378480.9629,224717.8506,183778.7939,233582.7148,275576.9785,201024.6899,236433.0967,187853.8086,239350.5791
tr|A0A140N6D4|A0A140N6D4_ECOBD,UPF0313 protein YgiQ OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ygiQ PE=3 SV=1,164049.4854,215581.45899999997,222534.0601,97386.41431000001,141833.3794,181906.6074,189064.3853,269514.3076,83056.21948,118390.4653,194786.2095,124682.4817,468104.3652,407105.9717,341941.0117,310411.5889,154071.7791,559633.2725,385383.9561,367832.5273
tr|A0A140N6D5|A0A140N6D5_ECOBD,L-fuculokinase OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=fucK PE=3 SV=1,335516.5166,303974.2578,502405.6816,338413.7041,305273.291,375014.2695,357786.7759,471646.37700000004,306491.5918,279075.5435,163956.1484,246100.3008,483632.2871,195565.4766,301676.2012,261735.1758,256369.5703,402578.0137,220883.1182,328229.4648
tr|A0A140N6D6|A0A140N6D6_ECOBD,Uncharacterized protein OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_1552 PE=4 SV=1,1041738.225,1127845.408,1028366.012,852158.1172,1289712.072,1099369.143,891643.584,1436120.865,938682.2305,827790.8145,417330.2656,442803.0762,429879.8203,439045.5625,480172.0703,609525.8203,433951.8398,435199.0508,361335.1641,528968.8008
tr|A0A140N6D7|A0A140N6D7_ECOBD,Glycoside hydrolase family 1 OS=Escherichia coli (strain B / BL21-DE3) OX=469008 GN=ECBD_0836 PE=3 SV=1,6701341.472,6196898.336,7996713.788,5447280.437999999,5735817.307999999,6861832.654,7404219.871,8947710.754,5695372.663,5060794.065,8241691.084,9123310.019,12385313.53,10356569.13,11155463.13,10848553.15,10622678.57,13273880.13,11796606.79,11760354.57
