Entry,Entry_name,Status,Protein_names,Gene_names,Organism,Length,Gene_ontology_biological_process,Gene_ontology_cellular_component,Gene_ontology_GO,Gene_ontology_molecular_function,Gene_ontology_IDs,EC_number,Intramembrane,Subcellular_location_CC,Topological_domain,Transmembrane
A0A140N938,A0A140N938_ECOBD,unreviewed,Protein of flagellar biosynthesis,ECBD_2530,Escherichia coli (strain B / BL21-DE3),138,bacterial-type flagellum assembly [GO:0044780],,bacterial-type flagellum assembly [GO:0044780],,GO:0044780,,,,,
A0A140N8S1,A0A140N8S1_ECOBD,unreviewed,Flagellar hook-length control protein,ECBD_1702,Escherichia coli (strain B / BL21-DE3),375,bacterial-type flagellum assembly [GO:0044780],bacterial-type flagellum hook [GO:0009424],bacterial-type flagellum hook [GO:0009424]; bacterial-type flagellum assembly [GO:0044780],,GO:0009424; GO:0044780,,,,,
A0A140ND37,A0A140ND37_ECOBD,unreviewed,Flagella basal body P-ring formation protein FlgA,ECBD_2528,Escherichia coli (strain B / BL21-DE3),219,bacterial-type flagellum assembly [GO:0044780],periplasmic space [GO:0042597],periplasmic space [GO:0042597]; bacterial-type flagellum assembly [GO:0044780],,GO:0042597; GO:0044780,,,SUBCELLULAR LOCATION: Periplasm {ECO:0000256|RuleBase:RU362063}.,,
A0A140ND29,A0A140ND29_ECOBD,unreviewed,Flagellar hook-associated protein 1 (HAP1),flgK ECBD_2518,Escherichia coli (strain B / BL21-DE3),547,bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973],bacterial-type flagellum hook [GO:0009424]; extracellular region [GO:0005576],bacterial-type flagellum hook [GO:0009424]; extracellular region [GO:0005576]; structural molecule activity [GO:0005198]; bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973],structural molecule activity [GO:0005198],GO:0005198; GO:0005576; GO:0009424; GO:0044780; GO:0071973,,,SUBCELLULAR LOCATION: Bacterial flagellum {ECO:0000256|RuleBase:RU362065}. Secreted {ECO:0000256|RuleBase:RU362065}.,,
A0A140N8K5,A0A140N8K5_ECOBD,unreviewed,"ATPase, FliI/YscN family (EC 3.6.3.14)",ECBD_1704,Escherichia coli (strain B / BL21-DE3),457,bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973]; biosynthetic process [GO:0009058]; protein secretion by the type III secretion system [GO:0030254],cytoplasm [GO:0005737]; type III protein secretion system complex [GO:0030257],cytoplasm [GO:0005737]; type III protein secretion system complex [GO:0030257]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; bacterial-type flagellum assembly [GO:0044780]; bacterial-type flagellum-dependent cell motility [GO:0071973]; biosynthetic process [GO:0009058]; protein secretion by the type III secretion system [GO:0030254],ATPase activity [GO:0016887]; ATP binding [GO:0005524],GO:0005524; GO:0005737; GO:0009058; GO:0016887; GO:0030254; GO:0030257; GO:0044780; GO:0071973,3.6.3.14,,,,
A0A140N662,A0A140N662_ECOBD,unreviewed,Flagellar transcriptional regulator FlhD,flhD ECBD_1746,Escherichia coli (strain B / BL21-DE3),116,"bacterial-type flagellum assembly [GO:0044780]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of bacterial-type flagellum assembly [GO:1902208]",cytoplasm [GO:0005737],"cytoplasm [GO:0005737]; DNA binding [GO:0003677]; bacterial-type flagellum assembly [GO:0044780]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of bacterial-type flagellum assembly [GO:1902208]",DNA binding [GO:0003677],GO:0003677; GO:0005737; GO:0044780; GO:0045893; GO:1902208,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00725, ECO:0000256|SAAS:SAAS00343081}.",,
A0A140N803,A0A140N803_ECOBD,unreviewed,Flagellar biosynthetic protein FliQ,fliQ ECBD_1696,Escherichia coli (strain B / BL21-DE3),89,bacterial-type flagellum assembly [GO:0044780]; protein secretion [GO:0009306],bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; bacterial-type flagellum assembly [GO:0044780]; protein secretion [GO:0009306],,GO:0005886; GO:0009306; GO:0009425; GO:0016021; GO:0044780,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU364090}. Bacterial flagellum basal body {ECO:0000256|RuleBase:RU364090}.,,TRANSMEM 56 74 Helical. {ECO:0000256|RuleBase:RU364090}.
A0A140NB09,A0A140NB09_ECOBD,unreviewed,Flagellar biosynthesis protein FlhA,flhA ECBD_1759,Escherichia coli (strain B / BL21-DE3),692,bacterial-type flagellum assembly [GO:0044780]; protein secretion [GO:0009306],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; bacterial-type flagellum assembly [GO:0044780]; protein secretion [GO:0009306],,GO:0005886; GO:0009306; GO:0016021; GO:0044780,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU364093}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU364093}.,,TRANSMEM 21 40 Helical. {ECO:0000256|RuleBase:RU364093}.; TRANSMEM 46 65 Helical. {ECO:0000256|RuleBase:RU364093}.; TRANSMEM 77 97 Helical. {ECO:0000256|RuleBase:RU364093}.; TRANSMEM 117 140 Helical. {ECO:0000256|RuleBase:RU364093}.; TRANSMEM 209 231 Helical. {ECO:0000256|RuleBase:RU364093}.; TRANSMEM 251 273 Helical. {ECO:0000256|RuleBase:RU364093}.; TRANSMEM 285 305 Helical. {ECO:0000256|RuleBase:RU364093}.
A0A140NAP8,A0A140NAP8_ECOBD,unreviewed,Flagellar biosynthetic protein FlhB,flhB ECBD_1758,Escherichia coli (strain B / BL21-DE3),382,bacterial-type flagellum assembly [GO:0044780]; protein secretion [GO:0009306],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; bacterial-type flagellum assembly [GO:0044780]; protein secretion [GO:0009306],,GO:0005886; GO:0009306; GO:0016021; GO:0044780,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU364091}.,,TRANSMEM 32 53 Helical. {ECO:0000256|RuleBase:RU364091}.; TRANSMEM 99 117 Helical. {ECO:0000256|RuleBase:RU364091}.; TRANSMEM 145 168 Helical. {ECO:0000256|RuleBase:RU364091}.; TRANSMEM 188 213 Helical. {ECO:0000256|RuleBase:RU364091}.
A0A140N612,A0A140N612_ECOBD,unreviewed,Flagellar biosynthetic protein FliR,ECBD_1695,Escherichia coli (strain B / BL21-DE3),261,bacterial-type flagellum assembly [GO:0044780]; protein targeting [GO:0006605],bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; bacterial-type flagellum assembly [GO:0044780]; protein targeting [GO:0006605],,GO:0005886; GO:0006605; GO:0009425; GO:0016021; GO:0044780,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU362071}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU362071}. Bacterial flagellum basal body {ECO:0000256|RuleBase:RU362071}.,,TRANSMEM 15 33 Helical. {ECO:0000256|RuleBase:RU362071}.; TRANSMEM 42 59 Helical. {ECO:0000256|RuleBase:RU362071}.; TRANSMEM 65 86 Helical. {ECO:0000256|RuleBase:RU362071}.; TRANSMEM 131 151 Helical. {ECO:0000256|RuleBase:RU362071}.; TRANSMEM 179 201 Helical. {ECO:0000256|RuleBase:RU362071}.; TRANSMEM 213 237 Helical. {ECO:0000256|RuleBase:RU362071}.
A0A140NAU6,A0A140NAU6_ECOBD,unreviewed,Flagellar protein,ECBD_1698,Escherichia coli (strain B / BL21-DE3),121,bacterial-type flagellum organization [GO:0044781],bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; bacterial-type flagellum organization [GO:0044781],,GO:0005886; GO:0009425; GO:0016021; GO:0044781,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU362064}. Bacterial flagellum basal body {ECO:0000256|RuleBase:RU362064}.,,TRANSMEM 18 39 Helical. {ECO:0000256|RuleBase:RU362064}.
A0A140N8A8,A0A140N8A8_ECOBD,unreviewed,Basal-body rod modification protein FlgD,ECBD_2525,Escherichia coli (strain B / BL21-DE3),231,bacterial-type flagellum organization [GO:0044781],,bacterial-type flagellum organization [GO:0044781],,GO:0044781,,,,,
A0A140N630,A0A140N630_ECOBD,unreviewed,Flagellar protein FliT,fliT ECBD_1716,Escherichia coli (strain B / BL21-DE3),121,bacterial-type flagellum organization [GO:0044781]; negative regulation of bacterial-type flagellum assembly [GO:1902209]; protein folding [GO:0006457],cytosol [GO:0005829],cytosol [GO:0005829]; bacterial-type flagellum organization [GO:0044781]; negative regulation of bacterial-type flagellum assembly [GO:1902209]; protein folding [GO:0006457],,GO:0005829; GO:0006457; GO:0044781; GO:1902209,,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000256|HAMAP-Rule:MF_01180, ECO:0000256|SAAS:SAAS00647103}.",,
A0A140N858,A0A140N858_ECOBD,unreviewed,Flagellar transcriptional regulator FlhC,flhC ECBD_1747,Escherichia coli (strain B / BL21-DE3),192,"bacterial-type flagellum organization [GO:0044781]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of bacterial-type flagellum assembly [GO:1902208]",cytoplasm [GO:0005737],"cytoplasm [GO:0005737]; DNA binding [GO:0003677]; zinc ion binding [GO:0008270]; bacterial-type flagellum organization [GO:0044781]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of bacterial-type flagellum assembly [GO:1902208]",DNA binding [GO:0003677]; zinc ion binding [GO:0008270],GO:0003677; GO:0005737; GO:0008270; GO:0044781; GO:0045893; GO:1902208,,,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_01891, ECO:0000256|PIRNR:PIRNR003159}.",,
A0A140NAI4,A0A140NAI4_ECOBD,unreviewed,Flagellar biosynthetic protein FliP,fliP ECBD_1697,Escherichia coli (strain B / BL21-DE3),245,bacterial-type flagellum organization [GO:0044781]; protein secretion [GO:0009306],bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; bacterial-type flagellum organization [GO:0044781]; protein secretion [GO:0009306],,GO:0005886; GO:0009306; GO:0009425; GO:0016021; GO:0044781,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU362069}; Multi-pass membrane protein {ECO:0000256|RuleBase:RU362069}. Bacterial flagellum basal body {ECO:0000256|RuleBase:RU362069}.,,TRANSMEM 45 74 Helical. {ECO:0000256|RuleBase:RU362069}.; TRANSMEM 86 105 Helical. {ECO:0000256|RuleBase:RU362069}.; TRANSMEM 185 211 Helical. {ECO:0000256|RuleBase:RU362069}.; TRANSMEM 223 244 Helical. {ECO:0000256|RuleBase:RU362069}.
A0A140NCS5,A0A140NCS5_ECOBD,unreviewed,Flagellar hook-associated protein 3,ECBD_2517,Escherichia coli (strain B / BL21-DE3),317,bacterial-type flagellum-dependent cell motility [GO:0071973],bacterial-type flagellum hook [GO:0009424],bacterial-type flagellum hook [GO:0009424]; structural molecule activity [GO:0005198]; bacterial-type flagellum-dependent cell motility [GO:0071973],structural molecule activity [GO:0005198],GO:0005198; GO:0009424; GO:0071973,,,,,
A0A140N924,A0A140N924_ECOBD,unreviewed,Flagellar P-ring protein (Basal body P-ring protein),flgI ECBD_2520,Escherichia coli (strain B / BL21-DE3),365,bacterial-type flagellum-dependent cell motility [GO:0071973],"bacterial-type flagellum basal body, distal rod, P ring [GO:0009428]; outer membrane-bounded periplasmic space [GO:0030288]","bacterial-type flagellum basal body, distal rod, P ring [GO:0009428]; outer membrane-bounded periplasmic space [GO:0030288]; structural molecule activity [GO:0005198]; bacterial-type flagellum-dependent cell motility [GO:0071973]",structural molecule activity [GO:0005198],GO:0005198; GO:0009428; GO:0030288; GO:0071973,,,"SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|HAMAP-Rule:MF_00416, ECO:0000256|SAAS:SAAS00952927}. Periplasm {ECO:0000256|HAMAP-Rule:MF_00416}.",,
A0A140NB02,A0A140NB02_ECOBD,unreviewed,Flagellar basal-body rod protein FlgG (Distal rod protein),ECBD_2522,Escherichia coli (strain B / BL21-DE3),260,bacterial-type flagellum-dependent cell motility [GO:0071973],"bacterial-type flagellum basal body, distal rod [GO:0009426]","bacterial-type flagellum basal body, distal rod [GO:0009426]; bacterial-type flagellum-dependent cell motility [GO:0071973]",,GO:0009426; GO:0071973,,,SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|RuleBase:RU362116}.,,
A0A140NBB9,A0A140NBB9_ECOBD,unreviewed,Flagellar L-ring protein (Basal body L-ring protein),flgH ECBD_2521,Escherichia coli (strain B / BL21-DE3),235,bacterial-type flagellum-dependent cell motility [GO:0071973],"bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]; cell outer membrane [GO:0009279]","bacterial-type flagellum basal body, distal rod, L ring [GO:0009427]; cell outer membrane [GO:0009279]; motor activity [GO:0003774]; bacterial-type flagellum-dependent cell motility [GO:0071973]",motor activity [GO:0003774],GO:0003774; GO:0009279; GO:0009427; GO:0071973,,,"SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|HAMAP-Rule:MF_00415, ECO:0000256|SAAS:SAAS00954870}. Cell outer membrane {ECO:0000256|HAMAP-Rule:MF_00415}.",,
A0A140NAT9,A0A140NAT9_ECOBD,unreviewed,Flagellar hook protein FlgE,ECBD_2524,Escherichia coli (strain B / BL21-DE3),401,bacterial-type flagellum-dependent cell motility [GO:0071973],bacterial-type flagellum basal body [GO:0009425],bacterial-type flagellum basal body [GO:0009425]; bacterial-type flagellum-dependent cell motility [GO:0071973],,GO:0009425; GO:0071973,,,SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|RuleBase:RU362116}.,,
A0A140N620,A0A140N620_ECOBD,unreviewed,Flagellar assembly protein FliH,ECBD_1705,Escherichia coli (strain B / BL21-DE3),228,bacterial-type flagellum-dependent cell motility [GO:0071973],bacterial-type flagellum [GO:0009288],bacterial-type flagellum [GO:0009288]; motor activity [GO:0003774]; bacterial-type flagellum-dependent cell motility [GO:0071973],motor activity [GO:0003774],GO:0003774; GO:0009288; GO:0071973,,,,,
A0A140NAX2,A0A140NAX2_ECOBD,unreviewed,Flagellin,ECBD_1719,Escherichia coli (strain B / BL21-DE3),498,bacterial-type flagellum-dependent cell motility [GO:0071973],bacterial-type flagellum filament [GO:0009420]; extracellular region [GO:0005576],bacterial-type flagellum filament [GO:0009420]; extracellular region [GO:0005576]; structural molecule activity [GO:0005198]; bacterial-type flagellum-dependent cell motility [GO:0071973],structural molecule activity [GO:0005198],GO:0005198; GO:0005576; GO:0009420; GO:0071973,,,SUBCELLULAR LOCATION: Secreted {ECO:0000256|RuleBase:RU362073}. Bacterial flagellum {ECO:0000256|RuleBase:RU362073}.,,
A0A140NCT6,A0A140NCT6_ECOBD,unreviewed,Flagellar basal body rod protein FlgB,ECBD_2527,Escherichia coli (strain B / BL21-DE3),138,bacterial-type flagellum-dependent cell motility [GO:0071973],"bacterial-type flagellum basal body, rod [GO:0030694]","bacterial-type flagellum basal body, rod [GO:0030694]; bacterial-type flagellum-dependent cell motility [GO:0071973]",,GO:0030694; GO:0071973,,,SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|PIRNR:PIRNR002889}.,,
A0A140NDE8,A0A140NDE8_ECOBD,unreviewed,Flagellar basal body protein,ECBD_2523,Escherichia coli (strain B / BL21-DE3),251,bacterial-type flagellum-dependent cell motility [GO:0071973],bacterial-type flagellum basal body [GO:0009425],bacterial-type flagellum basal body [GO:0009425]; bacterial-type flagellum-dependent cell motility [GO:0071973],,GO:0009425; GO:0071973,,,SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|RuleBase:RU362116}.,,
A0A140NAJ3,A0A140NAJ3_ECOBD,unreviewed,Flagellar M-ring protein,ECBD_1707,Escherichia coli (strain B / BL21-DE3),552,bacterial-type flagellum-dependent cell motility [GO:0071973],"bacterial-type flagellum basal body, MS ring [GO:0009431]; integral component of membrane [GO:0016021]","bacterial-type flagellum basal body, MS ring [GO:0009431]; integral component of membrane [GO:0016021]; motor activity [GO:0003774]; bacterial-type flagellum-dependent cell motility [GO:0071973]",motor activity [GO:0003774],GO:0003774; GO:0009431; GO:0016021; GO:0071973,,,SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|PIRNR:PIRNR004862}.,,TRANSMEM 23 43 Helical. {ECO:0000256|SAM:Phobius}.; TRANSMEM 451 468 Helical. {ECO:0000256|SAM:Phobius}.
A0A140NAV9,A0A140NAV9_ECOBD,unreviewed,Flagellar hook-basal body complex protein FliE,fliE ECBD_1708,Escherichia coli (strain B / BL21-DE3),104,bacterial-type flagellum-dependent cell motility [GO:0071973],bacterial-type flagellum basal body [GO:0009425],bacterial-type flagellum basal body [GO:0009425]; motor activity [GO:0003774]; structural molecule activity [GO:0005198]; bacterial-type flagellum-dependent cell motility [GO:0071973],motor activity [GO:0003774]; structural molecule activity [GO:0005198],GO:0003774; GO:0005198; GO:0009425; GO:0071973,,,"SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|HAMAP-Rule:MF_00724, ECO:0000256|SAAS:SAAS00116619}.",,
A0A140NAA8,A0A140NAA8_ECOBD,unreviewed,Flagellar basal-body rod protein FlgC,ECBD_2526,Escherichia coli (strain B / BL21-DE3),134,bacterial-type flagellum-dependent cell motility [GO:0071973],"bacterial-type flagellum basal body, rod [GO:0030694]","bacterial-type flagellum basal body, rod [GO:0030694]; bacterial-type flagellum-dependent cell motility [GO:0071973]",,GO:0030694; GO:0071973,,,SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|RuleBase:RU362062}.,,
A0A140NB36,A0A140NB36_ECOBD,unreviewed,Flagellar FliJ protein,ECBD_1703,Escherichia coli (strain B / BL21-DE3),147,bacterial-type flagellum-dependent cell motility [GO:0071973]; bacterial-type flagellum organization [GO:0044781]; chemotaxis [GO:0006935]; protein transport [GO:0015031],bacterial-type flagellum [GO:0009288]; plasma membrane [GO:0005886],bacterial-type flagellum [GO:0009288]; plasma membrane [GO:0005886]; motor activity [GO:0003774]; bacterial-type flagellum organization [GO:0044781]; bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935]; protein transport [GO:0015031],motor activity [GO:0003774],GO:0003774; GO:0005886; GO:0006935; GO:0009288; GO:0015031; GO:0044781; GO:0071973,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|PIRNR:PIRNR019404}; Peripheral membrane protein {ECO:0000256|PIRNR:PIRNR019404}.,,
A0A140NAK3,A0A140NAK3_ECOBD,unreviewed,Flagellar hook-associated protein 2 (HAP2) (Flagellar cap protein),ECBD_1718,Escherichia coli (strain B / BL21-DE3),468,bacterial-type flagellum-dependent cell motility [GO:0071973]; cell adhesion [GO:0007155],bacterial-type flagellum filament cap [GO:0009421]; bacterial-type flagellum hook [GO:0009424]; extracellular region [GO:0005576],bacterial-type flagellum filament cap [GO:0009421]; bacterial-type flagellum hook [GO:0009424]; extracellular region [GO:0005576]; bacterial-type flagellum-dependent cell motility [GO:0071973]; cell adhesion [GO:0007155],,GO:0005576; GO:0007155; GO:0009421; GO:0009424; GO:0071973,,,SUBCELLULAR LOCATION: Secreted {ECO:0000256|RuleBase:RU362066}. Bacterial flagellum {ECO:0000256|RuleBase:RU362066}.,,
A0A140NAJ4,A0A140NAJ4_ECOBD,unreviewed,Flagellar motor switch protein FliN,ECBD_1699,Escherichia coli (strain B / BL21-DE3),137,bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935],bacterial-type flagellum basal body [GO:0009425]; plasma membrane [GO:0005886],bacterial-type flagellum basal body [GO:0009425]; plasma membrane [GO:0005886]; motor activity [GO:0003774]; bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935],motor activity [GO:0003774],GO:0003774; GO:0005886; GO:0006935; GO:0009425; GO:0071973,,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|RuleBase:RU362074}; Peripheral membrane protein {ECO:0000256|RuleBase:RU362074}; Cytoplasmic side {ECO:0000256|RuleBase:RU362074}. Bacterial flagellum basal body {ECO:0000256|RuleBase:RU362074}.,,
A0A140N6S3,A0A140N6S3_ECOBD,unreviewed,Flagellar motor switch protein FliM,ECBD_1700,Escherichia coli (strain B / BL21-DE3),334,bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935],bacterial-type flagellum basal body [GO:0009425]; plasma membrane [GO:0005886],bacterial-type flagellum basal body [GO:0009425]; plasma membrane [GO:0005886]; motor activity [GO:0003774]; bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935],motor activity [GO:0003774],GO:0003774; GO:0005886; GO:0006935; GO:0009425; GO:0071973,,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|PIRNR:PIRNR002888}; Peripheral membrane protein {ECO:0000256|PIRNR:PIRNR002888}. Bacterial flagellum basal body {ECO:0000256|PIRNR:PIRNR002888}.,,
A0A140N815,A0A140N815_ECOBD,unreviewed,Flagellar motor switch protein FliG,ECBD_1706,Escherichia coli (strain B / BL21-DE3),331,bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935],bacterial-type flagellum basal body [GO:0009425]; plasma membrane [GO:0005886],bacterial-type flagellum basal body [GO:0009425]; plasma membrane [GO:0005886]; motor activity [GO:0003774]; bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935],motor activity [GO:0003774],GO:0003774; GO:0005886; GO:0006935; GO:0009425; GO:0071973,,,SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|PIRNR:PIRNR003161}. Cell inner membrane {ECO:0000256|PIRNR:PIRNR003161}; Peripheral membrane protein {ECO:0000256|PIRNR:PIRNR003161}; Cytoplasmic side {ECO:0000256|PIRNR:PIRNR003161}.,,
A0A140N925,A0A140N925_ECOBD,unreviewed,Flagellar protein FliL,ECBD_1701,Escherichia coli (strain B / BL21-DE3),154,bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935],bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886],bacterial-type flagellum basal body [GO:0009425]; integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; bacterial-type flagellum-dependent cell motility [GO:0071973]; chemotaxis [GO:0006935],,GO:0005886; GO:0006935; GO:0009425; GO:0016021; GO:0071973,,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|RuleBase:RU364125}.,,TRANSMEM 14 35 Helical. {ECO:0000256|RuleBase:RU364125}.
A0A140NAS4,A0A140NAS4_ECOBD,unreviewed,Flagellar brake protein YcgR (Cyclic di-GMP binding protein YcgR),ycgR ECBD_2428,Escherichia coli (strain B / BL21-DE3),244,bacterial-type flagellum-dependent cell motility [GO:0071973]; regulation of bacterial-type flagellum-dependent cell motility by regulation of motor speed [GO:0071945],bacterial-type flagellum basal body [GO:0009425],bacterial-type flagellum basal body [GO:0009425]; cyclic-di-GMP binding [GO:0035438]; bacterial-type flagellum-dependent cell motility [GO:0071973]; regulation of bacterial-type flagellum-dependent cell motility by regulation of motor speed [GO:0071945],cyclic-di-GMP binding [GO:0035438],GO:0009425; GO:0035438; GO:0071945; GO:0071973,,,SUBCELLULAR LOCATION: Bacterial flagellum basal body {ECO:0000256|HAMAP-Rule:MF_01457}.,,
A0A140NBY9,A0A140NBY9_ECOBD,unreviewed,Protein TolA,ECBD_2921,Escherichia coli (strain B / BL21-DE3),421,bacteriocin transport [GO:0043213],integral component of membrane [GO:0016021],integral component of membrane [GO:0016021]; toxin transmembrane transporter activity [GO:0019534]; virion binding [GO:0046790]; bacteriocin transport [GO:0043213],toxin transmembrane transporter activity [GO:0019534]; virion binding [GO:0046790],GO:0016021; GO:0019534; GO:0043213; GO:0046790,,,,,TRANSMEM 12 31 Helical. {ECO:0000256|SAM:Phobius}.
A0A140NBE4,A0A140NBE4_ECOBD,unreviewed,Tol-Pal system protein TolQ,tolQ ECBD_2923,Escherichia coli (strain B / BL21-DE3),230,bacteriocin transport [GO:0043213]; cell cycle [GO:0007049]; cell division [GO:0051301],integral component of plasma membrane [GO:0005887],integral component of plasma membrane [GO:0005887]; bacteriocin transport [GO:0043213]; cell cycle [GO:0007049]; cell division [GO:0051301],,GO:0005887; GO:0007049; GO:0043213; GO:0051301,,,SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000256|HAMAP-Rule:MF_02202}; Multi-pass membrane protein {ECO:0000256|HAMAP-Rule:MF_02202}.,,TRANSMEM 15 35 Helical. {ECO:0000256|HAMAP-Rule:MF_02202}.; TRANSMEM 139 159 Helical. {ECO:0000256|HAMAP-Rule:MF_02202}.; TRANSMEM 171 192 Helical. {ECO:0000256|HAMAP-Rule:MF_02202}.
A0A140N4M6,A0A140N4M6_ECOBD,unreviewed,DNA-3-methyladenine glycosylase I (EC 3.2.2.20),ECBD_0188,Escherichia coli (strain B / BL21-DE3),187,base-excision repair [GO:0006284],,DNA-3-methyladenine glycosylase activity [GO:0008725]; base-excision repair [GO:0006284],DNA-3-methyladenine glycosylase activity [GO:0008725],GO:0006284; GO:0008725,3.2.2.20,,,,
A0A140N891,A0A140N891_ECOBD,unreviewed,DNA-3-methyladenine glycosylase II (EC 3.2.2.21),ECBD_1587,Escherichia coli (strain B / BL21-DE3),282,base-excision repair [GO:0006284],,DNA-3-methyladenine glycosylase activity [GO:0008725]; DNA-3-methylguanine glycosylase activity [GO:0052822]; DNA-7-methyladenine glycosylase activity [GO:0052821]; DNA-7-methylguanine glycosylase activity [GO:0043916]; base-excision repair [GO:0006284],DNA-3-methyladenine glycosylase activity [GO:0008725]; DNA-3-methylguanine glycosylase activity [GO:0052822]; DNA-7-methyladenine glycosylase activity [GO:0052821]; DNA-7-methylguanine glycosylase activity [GO:0043916],GO:0006284; GO:0008725; GO:0043916; GO:0052821; GO:0052822,3.2.2.21,,,,
A0A140N6V7,A0A140N6V7_ECOBD,unreviewed,Uracil-DNA glycosylase (UDG) (EC 3.2.2.27),ung ECBD_1100,Escherichia coli (strain B / BL21-DE3),229,base-excision repair [GO:0006284],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; uracil DNA N-glycosylase activity [GO:0004844]; base-excision repair [GO:0006284],uracil DNA N-glycosylase activity [GO:0004844],GO:0004844; GO:0005737; GO:0006284,3.2.2.27,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|HAMAP-Rule:MF_00148}.,,
